Timestamp,LiquidCooling_NodeTemp_Min_NodeA_AreaC,LiquidCooling_NodeTemp_Min_NodeB_AreaC,AirDistribution_ReturnTemp_Avg_SystemA_AreaC,AirDistribution_ReturnTemp_Avg_SystemB_AreaC,AirDistribution_SupplyTemp_Avg_SystemB_AreaC,AirDistribution_SupplyTemp_Avg_SystemA_AreaC,Humidity_Avg_SensorA_AreaC,LiquidCooling_NodeTemp_Avg_NodeA_AreaC,Humidity_Avg_SensorB_AreaC,LiquidCooling_NodeTemp_Avg_NodeB_AreaC,AirDistribution_ReturnTemp_Max_SystemB_AreaC,AirDistribution_ReturnTemp_Max_SystemA_AreaC,AirDistribution_SupplyTemp_Max_SystemA_AreaC,AirDistribution_SupplyTemp_Max_SystemB_AreaC,LiquidCooling_NodeTemp_Max_NodeA_AreaC,LiquidCooling_NodeTemp_Max_NodeB_AreaC,AirDistribution_ReturnTemp_Min_SystemA_AreaC,AirDistribution_ReturnTemp_Min_SystemB_AreaC,AirDistribution_SupplyTemp_Min_SystemA_AreaC,AirDistribution_SupplyTemp_Min_SystemB_AreaC
2026/02/01 12:00:17.000 AM -06:00,67.06308746,66.94185638,75.25245667,74.60922241,68.75562286,68.52536774,16,67.671875,14,67.97569275,75.0812149,76.31293488,69.05446625,69.44238281,68.88326263,69.87424469,74.87649536,73.51052094,67.41064453,68.15735626
2026/02/01 12:00:17.000 AM -06:00,65.90026093,66.49443054,74.66297913,74.06887817,67.77703857,67.78390503,19,67.08406067,19,67.62540436,74.39818573,75.45198822,68.27780914,68.13845062,68.43141937,69.30289459,73.71992493,74.21128082,68.12371063,67.04230499
2026/02/01 2:14:40.744 AM -06:00,66.09088135,66.32687378,76.50324249,75.63864899,70.08535767,69.93364716,20,67.17004395,20,67.82939911,76.39031982,77.43133545,70.90202332,71.0063324,68.49578094,69.2610321,76.10173798,74.85214233,66.21585846,69.12893677
2026/02/01 2:14:40.744 AM -06:00,67.29920197,67.20176697,74.27848816,73.7828598,67.12949371,67.18933868,25,68.07255554,24,68.33003235,74.19567108,74.89926147,68.16539764,67.87746429,69.1379776,69.75039673,72.82276917,72.88768768,68.23825836,66.42295837
2026/02/01 4:29:04.488 AM -06:00,67.31033325,67.20037842,74.34973145,73.80109406,67.40081024,67.32501221,25,68.103508,24,68.4717865,75.31155396,76.6757431,68.17871094,69.4620285,69.86619568,70.27100372,73.04232025,72.8917923,66.69287109,66.60242462
2026/02/01 4:29:04.488 AM -06:00,66.17120361,66.51528931,75.44107819,74.66986847,68.95966339,68.79702759,29,67.31627655,28,67.93952179,74.37958527,75.29323578,69.38277435,67.818367,68.66492462,69.42771912,75.1224823,74.17477417,68.22701263,68.2377243
2026/02/01 6:43:28.232 AM -06:00,66.34048462,66.42758942,75.06016541,74.17832184,68.3723526,68.26875305,30,67.21193695,28,67.64276886,74.47945404,76.15367126,68.70929718,68.21141052,68.55732727,69.35823059,73.86935425,73.67206573,67.63466644,67.39576721
2026/02/01 6:43:28.232 AM -06:00,66.11133575,66.64362335,74.82217407,74.33672333,68.00859833,67.90028381,31,67.40280151,30,67.64276886,75.18802643,75.69078827,68.18223572,68.92513275,68.58326721,69.17585754,74.51913452,73.9340744,68.10596466,67.84068298
2026/02/01 8:57:51.976 AM -06:00,66.23712921,66.51521301,74.77740479,74.0764389,69.72249603,67.7490921,32,67.57078552,31,67.87596893,74.50674438,75.35964966,68.18558502,70.70700836,68.75375366,69.49266052,73.67887878,75.03192139,67.11727142,68.53470612
2026/02/01 8:57:51.976 AM -06:00,67.77924347,67.69378662,85.12953949,83.0759201,67.89186096,69.17385101,31,69.36869812,28,69.75565338,86.34430695,87.68442535,70.12129974,68.21364594,71.18678284,72.05519867,75.52862549,72.91864014,68.34413147,66.64723206
2026/02/01 11:12:15.720 AM -06:00,67.86432648,67.52212524,86.9383316,84.66648102,70.13408661,70.75740814,30,70.23577881,28,70.40026855,87.74964905,89.44006348,72.56363678,71.10503387,72.91034698,73.45495605,73.58032227,73.05641937,68.65602112,69.32927704
