Timestamp,LiquidCooling_NodeTemp_Min_NodeA_AreaD,LiquidCooling_NodeTemp_Min_NodeB_AreaD,AirDistribution_ReturnTemp_Avg_SystemA_AreaD,AirDistribution_ReturnTemp_Avg_SystemB_AreaD,AirDistribution_SupplyTemp_Avg_SystemB_AreaD,AirDistribution_SupplyTemp_Avg_SystemA_AreaD,Humidity_Avg_SensorA_AreaD,LiquidCooling_NodeTemp_Avg_NodeA_AreaD,Humidity_Avg_SensorB_AreaD,LiquidCooling_NodeTemp_Avg_NodeB_AreaD,AirDistribution_ReturnTemp_Max_SystemA_AreaD,AirDistribution_ReturnTemp_Max_SystemB_AreaD,AirDistribution_SupplyTemp_Max_SystemA_AreaD,AirDistribution_SupplyTemp_Max_SystemB_AreaD,LiquidCooling_NodeTemp_Max_NodeA_AreaD,LiquidCooling_NodeTemp_Max_NodeB_AreaD,AirDistribution_ReturnTemp_Min_SystemB_AreaD,AirDistribution_ReturnTemp_Min_SystemA_AreaD,AirDistribution_SupplyTemp_Min_SystemA_AreaD,AirDistribution_SupplyTemp_Min_SystemB_AreaD
2026/02/01 12:00:09.000 AM -06:00,69.59261322,74.28852081,86.507164,86.4081955,70.09094238,70.04268646,16,74.81977081,17,74.94510651,87.9223175,89.67141724,71.23348999,73.46446991,75.85094452,75.98677826,84.23560333,84.01470947,68.87854004,65.34401703
2026/02/01 12:00:09.000 AM -06:00,68.20775604,73.4169693,73.81499481,76.69059753,66.44001007,65.78874969,21,74.3394165,21,74.84249115,75.99189758,78.97000885,67.16586304,68.43434906,75.70811462,75.98677826,74.65292358,71.87083435,64.31491089,68.74568939
2026/02/01 2:14:32.770 AM -06:00,68.6566391,74.00813293,84.92392731,87.5111618,69.1499176,68.00715637,21,74.51436615,21,74.93849945,84.7535553,90.57807922,68.72753143,74.36001587,75.85457611,76.0271759,84.20407867,81.05310822,68.57694244,68.78064728
2026/02/01 2:14:32.770 AM -06:00,69.7467804,73.73722839,83.41370392,85.9553299,70.55828094,69.81458282,27,74.73223877,27,74.95230103,86.60192871,88.62652588,71.02793121,72.65085602,75.89416504,76.17919159,83.08164215,82.07670593,67.38884735,67.58869934
2026/02/01 4:28:56.540 AM -06:00,68.8224411,73.3565979,82.9724884,85.4357605,68.88935852,67.85378265,27,74.53967285,27,74.92682648,84.17604828,88.37745667,68.45916748,72.34654236,75.79180908,76.12820435,82.826828,80.62113953,67.16483307,67.84962463
2026/02/01 4:28:56.540 AM -06:00,70.42875671,74.0943985,85.99452972,88.1344986,71.40412903,70.65951538,30,74.98770142,30,75.07066345,87.31182861,91.7734375,71.75093079,75.5421524,76.34580231,76.03105927,85.05703735,84.86392975,69.53274536,69.52336884
2026/02/01 6:43:20.310 AM -06:00,69.85158539,74.07044983,85.47233582,87.58712769,70.87802124,70.04712677,30,74.73897552,30,74.86419678,86.87115479,91.22113037,71.42850494,74.97332764,75.834198,76.18156433,84.09410858,84.28696442,68.83862305,68.74308777
2026/02/01 6:43:20.310 AM -06:00,68.88912201,73.47794342,75.75994873,78.8269043,67.54990387,66.36725616,33,74.51959229,33,74.930336,78.41882324,82.09501648,67.55805969,69.97498322,75.68719482,75.94436646,76.08520508,72.73817444,65.13014221,66.6568985
2026/02/01 8:57:44.080 AM -06:00,70.59806061,74.1782608,85.99809265,88.55887604,71.77085114,70.76664734,34,74.94618225,33,75.07696533,87.6862793,92.31520081,72.12373352,76.04032898,76.34352112,76.09479523,85.44397736,85.02353668,69.93170166,69.82220459
2026/02/01 8:57:44.080 AM -06:00,67.69360352,73.54904938,77.01902008,79.03377533,66.85049438,66.47673798,35,74.2427597,35,74.66971588,78.44573212,81.7625351,67.56504059,68.68903351,75.66584015,75.81719971,76.19608307,74.61700439,65.41108704,65.74013519
2026/02/01 11:12:07.850 AM -06:00,68.50524902,73.86592865,82.88829041,84.44754791,68.8647995,68.49829102,34,74.06045532,34,75.00226593,84.1627121,87.35294342,69.38536835,71.15918732,75.95839691,76.20096588,82.52424622,82.9201355,67.96777344,68.27201843
2026/02/01 11:12:07.850 AM -06:00,66.74841309,73.33469391,84.22648621,85.67308807,67.81590271,67.38311768,36,74.59266663,36,74.74332428,85.99507141,85.68460846,68.04756927,69.83565521,75.77471924,76.00795746,83.93870544,81.76383209,66.72193146,66.5524292
2026/02/01 1:26:31.620 PM -06:00,66.75463104,73.33136749,78.40135193,85.38886261,66.75756073,66.50791168,35,74.13487244,37,74.87330489677547,80.06390381,87.0207901,67.54168701,68.68392181,75.93991852,76.13781738,84.02410126,76.10504913,65.65306854,65.71180725
