Timestamp,LiquidCooling_NodeTemp_Min_NodeA_AreaB,LiquidCooling_NodeTemp_Min_NodeB_AreaB,AirDistribution_ReturnTemp_Avg_SystemB_AreaB,Power_ITLoad_kW_AreaB,AirDistribution_ReturnTemp_Avg_SystemA_AreaB,AirDistribution_SupplyTemp_Avg_SystemA_AreaB,AirDistribution_SupplyTemp_Avg_SystemB_AreaB,Humidity_Avg_SensorA_AreaB,Humidity_Avg_SensorB_AreaB,LiquidCooling_NodeTemp_Avg_NodeA_AreaB,LiquidCooling_NodeTemp_Avg_NodeB_AreaB,AirDistribution_ReturnTemp_Max_SystemA_AreaB,AirDistribution_ReturnTemp_Max_SystemB_AreaB,Power_TotalLoad_kW_AreaB,AirDistribution_SupplyTemp_Max_SystemA_AreaB,AirDistribution_SupplyTemp_Max_SystemB_AreaB,LiquidCooling_NodeTemp_Max_NodeA_AreaB,LiquidCooling_NodeTemp_Max_NodeB_AreaB,AirDistribution_ReturnTemp_Min_SystemA_AreaB,AirDistribution_ReturnTemp_Min_SystemB_AreaB,AirDistribution_SupplyTemp_Min_SystemB_AreaB,AirDistribution_SupplyTemp_Min_SystemA_AreaB
2026/02/01 12:00:09.000 AM -06:00,71.50914764,70.71665192,84.55636597,15.5474987,83.77490234,67.29066467,68.46833038,13,13,74.7015152,75.26496887,86.68158722,86.04380035,23.57582474,67.88207245,68.22200775,75.96990967,77.29886627,79.62141418,83.35674286,67.13825989,68.17222595
2026/02/01 12:00:09.000 AM -06:00,72.78386688,73.56258392,82.97547913,19.24100304,78.53726959,68.32997894,67.91912079,26,26,74.80080414,75.347435,80.4944458,85.01998138,19.81449509,68.81951904,68.90593719,75.92341614,76.78471375,75.27562714,79.5691452,67.97488403,66.8184967
2026/02/01 2:14:32.770 AM -06:00,72.77440643,73.66575623,83.84506989,19.38751984,83.58070374,68.15099335,68.16170502,26,26,74.80537415,75.39678955,84.76947021,85.42061615,22.30272293,68.07772064,68.16513824,75.94717407,77.32559204,79.57497406,83.39183807,67.8620224,67.99724579
2026/02/01 2:14:32.770 AM -06:00,72.80738831,73.68825531,84.49714661,18.00330734,82.67700195,67.64080048,67.74979401,24,24,74.85032654,75.37773132,86.36741638,86.07272339,23.52533722,68.56300354,68.73799896,76.0133667,76.76819611,78.2744751,81.34561157,67.1672287,67.24456787
2026/02/01 4:28:56.540 AM -06:00,72.83694458,73.72953796,82.83769989,14.63721943,77.19049835,66.9394455,67.80692291,23,23,74.78775024,75.36882019,79.17916107,85.1064682,18.18635178,69.21869659,68.88349152,76.01043701,76.71738434,73.76812744,77.52362061,66.86997223,66.27555847
2026/02/01 4:28:56.540 AM -06:00,72.80104065,73.53040314,84.5923996,19.43067932,83.93289185,68.74468994,68.52010345,34,34,74.72968292,75.22795105,86.87505341,86.11597443,23.51384735,68.04850769,68.23658752,75.91801453,77.36786652,79.70423126,83.31414032,68.05344391,68.29232788
2026/02/01 6:43:20.310 AM -06:00,72.76532745,73.68912506,84.66635132,19.27075768,83.82497406,68.33602142,68.90882111,35,34,74.76636505,75.26677704,86.68183136,86.15834045,23.23276901,69.14105225,69.60855103,75.92721558,77.44904327,79.66253662,83.23352051,68.20861053,68.01745605
2026/02/01 6:43:20.310 AM -06:00,72.70171356,73.52046967,75.01012421,13.01911926,80.68099213,67.35246277,66.48188019,40,39,74.85852814,75.28546906,84.73670197,79.53329468,16.42419624,67.93863678,67.3372345,75.87722778,77.00395966,76.40486145,71.54986572,65.21372986,66.625
2026/02/01 8:57:44.080 AM -06:00,72.72155762,73.56078339,75.44949341,12.91006851,80.51012421,67.63710785,69.33940887,39,39,74.78730774,75.23706818,84.51482391,79.57486725,16.52724075,67.89476776,70.62662506,75.81761169,77.30445862,76.42116547,83.16951752,68.64716339,68.14347076
2026/02/01 8:57:44.080 AM -06:00,73.08461761,73.79489136,84.93286133,19.21833992,84.3293457,68.86867523,66.65411377,31,30,74.9516983,75.32046509,87.8106308,86.87468719,24.30414009,69.90866089,67.53781128,76.12297821,76.9768219,79.91847992,73.09618378,66.05154419,67.01692963
