Timestamp,LiquidCooling_NodeTemp_Min_NodeA_AreaA,LiquidCooling_NodeTemp_Min_NodeB_AreaA,AirDistribution_ReturnTemp_Avg_SystemB_AreaA,AirDistribution_ReturnTemp_Avg_SystemA_AreaA,AirDistribution_SupplyTemp_Avg_SystemA_AreaA,Power_ITLoad_kW_AreaA,AirDistribution_SupplyTemp_Avg_SystemB_AreaA,Humidity_Avg_SensorA_AreaA,LiquidCooling_NodeTemp_Avg_NodeA_AreaA,Humidity_Avg_SensorB_AreaA,LiquidCooling_NodeTemp_Avg_NodeB_AreaA,Power_TotalLoad_kW_AreaA,AirDistribution_ReturnTemp_Max_SystemA_AreaA,AirDistribution_ReturnTemp_Max_SystemB_AreaA,AirDistribution_SupplyTemp_Max_SystemB_AreaA,AirDistribution_SupplyTemp_Max_SystemA_AreaA,LiquidCooling_NodeTemp_Max_NodeA_AreaA,LiquidCooling_NodeTemp_Max_NodeB_AreaA,AirDistribution_ReturnTemp_Min_SystemA_AreaA,AirDistribution_ReturnTemp_Min_SystemB_AreaA,AirDistribution_SupplyTemp_Min_SystemB_AreaA,AirDistribution_SupplyTemp_Min_SystemA_AreaA
2026/02/01 12:00:09.000 AM -06:00,68.25460815,68.88054657,86.99577332,81.4826889,71.09843445,17.48555565,71.8786087,19,69.1472702,18,69.94635773,15.3143549,86.94967651,89.28279877,73.1085434,72.81404114,69.35031128,71.36209869,75.39584351,78.41434479,70.70527649,69.82163239
2026/02/01 12:00:09.000 AM -06:00,66.45449829,67.12385559,79.74411011,78.38388824,67.04321289,12.22750282,66.94356537,24,67.9325943,23,68.54574585,21.5397644,81.17191315,80.47901154,67.27542877,67.63444519,70.26308441,70.11633301,71.96663666,84.61335754,66.11688995,66.17447662
2026/02/01 2:14:32.770 AM -06:00,66.18127441,66.82913208,83.7638092,80.42761993,66.95993042,17.63084412,66.84457397,23,67.70426941,22,68.1080246,18.97622108,90.44037628,84.30161285,67.29947662,67.48336792,69.43545532,69.94493866,72.22499847,86.76223755,65.93044281,70.39194489
2026/02/01 2:14:32.770 AM -06:00,68.32585144,68.48414612,88.532547,84.34434509,72.29566956,16.34566879,72.74269104,30,69.85212708,29,70.66789246,23.00744629,83.82803345,91.27716064,74.06121826,74.34123993,71.65563202,72.03623962,75.90717316,82.47621918,71.93029022,66.07142639
2026/02/01 4:28:56.540 AM -06:00,66.16143799,68.13994598,76.08029175,76.37130737,72.63924408,10.11437416,66.40826416,29,67.78234863,28,68.11294556,15.37229347,78.30369568,77.88639069,66.93427277,67.57454681,69.52080536,70.0122757,76.32691193,74.87211609,65.88284302,70.77455139
2026/02/01 4:28:56.540 AM -06:00,68.06018066,66.93947601,87.93865204,84.94779205,66.67575836,17.52166939,72.90486145,34,69.58789825,34,70.1448288,22.47450066,90.11443329,90.71878052,74.41218567,74.37250519,71.05780792,71.53629303,71.58432007,85.97274017,71.913414,65.43623352
2026/02/01 6:43:20.310 AM -06:00,66.33020782,66.88719177,83.15328217,80.17726898,67.02115631,17.5400219,66.87969971,36,67.79475403,36,68.19354248,20.08832359,83.40876007,83.77159882,67.20645142,67.76239014,69.58338928,70.03340149,72.1603241,82.28992462,66.27798462,66.28835297
2026/02/01 6:43:20.310 AM -06:00,68.05245972,68.3945694,88.84887695,84.77436829,72.26087189,16.22634125,72.73434448,32,69.35997009,31,70.46707153,22.81763077,90.5158844,90.42350769,73.69642639,75.12644196,71.14099121,72.04179382,75.27496338,86.68489838,71.61421204,70.25475311
2026/02/01 8:57:44.080 AM -06:00,66.20011139,66.8692627,85.82556152,81.86155701,66.7864151,17.19440269,66.5817337,34,69.62783813,33,70.49193573,22.37116051,88.29431152,88.54741669,66.90840149,67.37029266,71.09747314,72.04847717,74.82944489,82.94096375,70.36299896,68.99443817
2026/02/01 8:57:44.080 AM -06:00,68.34952545,68.41783142,81.54621887,78.7827301,70.74471283,14.86949921,71.22389221,39,67.75298309,39,68.16333771,18.71386909,82.63967133,83.02053833,72.18880463,72.31684875,69.67046356,70.10797119,71.83979797,79.13461304,66.25615692,65.98918152
